kind,family,dataset_id,n,dimension,metric_space,index_kind,hubness_sample_size,k_hub,k,queries,n_lists,metric_id,state,value,unavailable_reason,evidence_strength,verdict,seed,profile
baseline,gaussian,gaussian-128,50000,128,L2,IVF,20000,10,10,200,224,antihub_fraction,WARN,0.29575,,medium,WARN,1337,reference
baseline,gaussian,gaussian-128,50000,128,L2,IVF,20000,10,10,200,224,canary_recall,OK,0.9,,medium,WARN,1337,reference
baseline,gaussian,gaussian-128,50000,128,L2,IVF,20000,10,10,200,224,dfi,OK,0,,high,WARN,1337,reference
baseline,gaussian,gaussian-128,50000,128,L2,IVF,20000,10,10,200,224,hub_share_top1pct,WARN,0.22775,,medium,WARN,1337,reference
baseline,gaussian,gaussian-128,50000,128,L2,IVF,20000,10,10,200,224,partition_size_cv,OK,0.3394172512,,medium,WARN,1337,reference
baseline,gaussian,gaussian-1536,50000,1536,L2,IVF,20000,10,10,200,224,antihub_fraction,FAIL,0.43755,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-1536,50000,1536,L2,IVF,20000,10,10,200,224,canary_recall,OK,0.9,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-1536,50000,1536,L2,IVF,20000,10,10,200,224,dfi,OK,0,,high,FAIL,1337,reference
baseline,gaussian,gaussian-1536,50000,1536,L2,IVF,20000,10,10,200,224,hub_share_top1pct,WARN,0.312595,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-1536,50000,1536,L2,IVF,20000,10,10,200,224,partition_size_cv,WARN,1.364714098,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-384,50000,384,L2,IVF,20000,10,10,200,224,antihub_fraction,WARN,0.3814,,medium,WARN,1337,reference
baseline,gaussian,gaussian-384,50000,384,L2,IVF,20000,10,10,200,224,canary_recall,OK,0.9,,medium,WARN,1337,reference
baseline,gaussian,gaussian-384,50000,384,L2,IVF,20000,10,10,200,224,dfi,OK,0,,high,WARN,1337,reference
baseline,gaussian,gaussian-384,50000,384,L2,IVF,20000,10,10,200,224,hub_share_top1pct,WARN,0.26635,,medium,WARN,1337,reference
baseline,gaussian,gaussian-384,50000,384,L2,IVF,20000,10,10,200,224,partition_size_cv,OK,0.7151943087,,medium,WARN,1337,reference
baseline,gaussian,gaussian-64,50000,64,L2,IVF,20000,10,10,200,224,antihub_fraction,OK,0.22255,,medium,OK,1337,reference
baseline,gaussian,gaussian-64,50000,64,L2,IVF,20000,10,10,200,224,canary_recall,OK,0.9,,medium,OK,1337,reference
baseline,gaussian,gaussian-64,50000,64,L2,IVF,20000,10,10,200,224,dfi,OK,0,,high,OK,1337,reference
baseline,gaussian,gaussian-64,50000,64,L2,IVF,20000,10,10,200,224,hub_share_top1pct,OK,0.16464,,medium,OK,1337,reference
baseline,gaussian,gaussian-64,50000,64,L2,IVF,20000,10,10,200,224,partition_size_cv,OK,0.178477472,,medium,OK,1337,reference
baseline,gaussian,gaussian-768,50000,768,L2,IVF,20000,10,10,200,224,antihub_fraction,FAIL,0.4177,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-768,50000,768,L2,IVF,20000,10,10,200,224,canary_recall,OK,0.9,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-768,50000,768,L2,IVF,20000,10,10,200,224,dfi,OK,0,,high,FAIL,1337,reference
baseline,gaussian,gaussian-768,50000,768,L2,IVF,20000,10,10,200,224,hub_share_top1pct,WARN,0.301195,,medium,FAIL,1337,reference
baseline,gaussian,gaussian-768,50000,768,L2,IVF,20000,10,10,200,224,partition_size_cv,OK,1.10479956,,medium,FAIL,1337,reference
baseline,synthetic,synthetic-drifted,12701,16,L2,IVF,12701,10,10,200,16,antihub_fraction,OK,0.03897330919,,medium,OK,1337,reference
baseline,synthetic,synthetic-drifted,12701,16,L2,IVF,12701,10,10,200,16,canary_recall,OK,0.8935,,medium,OK,1337,reference
baseline,synthetic,synthetic-drifted,12701,16,L2,IVF,12701,10,10,200,16,dfi,OK,0,,high,OK,1337,reference
baseline,synthetic,synthetic-drifted,12701,16,L2,IVF,12701,10,10,200,16,hub_share_top1pct,OK,0.05971970711,,medium,OK,1337,reference
baseline,synthetic,synthetic-drifted,12701,16,L2,IVF,12701,10,10,200,16,partition_size_cv,OK,1.034217453,,medium,OK,1337,reference
baseline,synthetic,synthetic-healthy,8000,16,L2,IVF,8000,10,10,200,32,antihub_fraction,OK,0.05225,,low,OK,1337,reference
baseline,synthetic,synthetic-healthy,8000,16,L2,IVF,8000,10,10,200,32,canary_recall,OK,0.9,,medium,OK,1337,reference
baseline,synthetic,synthetic-healthy,8000,16,L2,IVF,8000,10,10,200,32,dfi,OK,0,,high,OK,1337,reference
baseline,synthetic,synthetic-healthy,8000,16,L2,IVF,8000,10,10,200,32,hub_share_top1pct,OK,0.055075,,low,OK,1337,reference
baseline,synthetic,synthetic-healthy,8000,16,L2,IVF,8000,10,10,200,32,partition_size_cv,OK,0.4846369775,,medium,OK,1337,reference
